Ranking,Name,Date,Year,Sales,Audiencebox,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,콜라보,스태프수,동시개봉,제작사
51,투사부일체,2006-01-19,6,48582192939,4.07E+00,6105431,93,0,0,1,0,0,1,0,0,20,0,1,,,,
52,연평해전,2015-06-24,15,45563228330,4.07E+00,6043784,1013,1,1,1,0,1,0,0,0,23,0,0,,,,
53,쉬리,1999-02-13,-1,40293959302,4.07E+00,5820000,0,0,1,0,0,0,0,0,0,30,0,0,,,,
54,청년경찰,2017-08-09,17,44381150516,4.07E+00,5653270,1102,0,1,0,0,0,1,0,0,43,0,1,,,,
55,가문의 위기(가문의 영광2),2005-09-07,5,28622355500,4.07E+00,5635266,101,0,0,0,0,0,1,0,0,15,0,1,,,,
56,숨바꼭질,2013-08-14,13,39602987500,4.07E+00,5604104,779,0,0,0,1,0,0,0,0,18,0,0,,,,
57,덕혜옹주,2016-08-03,16,44393828109,4.07E+00,5599229,964,1,0,1,0,0,0,0,0,23,1,1,,,,
58,더 테러 라이브,2013-07-31,13,39866712881,4.07E+00,5583596,743,0,0,0,0,1,0,0,1,20,0,1,,,,
59,감시자들,2013-07-03,13,39380162179,4.07E+00,5508017,949,0,1,0,0,0,0,0,0,19,3,0,,,,
60,의형제,2010-02-04,10,40800867602,4.07E+00,5507106,572,0,1,0,0,0,1,0,0,14,1,1,,,,
61,검은 사제들,2015-11-05,15,42407832092,4.07E+00,5442553,1088,0,0,0,1,0,0,0,1,19,1,1,,,,
62,더 킹,2017-01-18,17,43486078535,4.07E+00,5316325,1310,0,0,1,0,0,0,0,0,17,1,0,,,,
63,완득이,2011-10-20,11,38530503500,4.07E+00,5310510,500,0,0,1,0,0,1,0,0,17,0,1,,,,
64,살인의 추억,2003-04-25,3,39040395912,4.07E+00,5255376,54,0,0,0,1,0,0,0,1,25,0,1,,,,
65,타워,2012-12-25,12,37654858000,4.06E+00,5181014,617,0,0,1,0,1,0,0,0,20,3,1,,,,
66,말아톤,2005-01-27,5,38382838421,4.06E+00,5148022,73,0,0,1,0,0,0,0,0,16,0,1,,,,
67,추격자,2008-02-14,8,33943278500,4.06E+00,5071619,435,0,1,0,0,0,0,0,1,28,0,1,,,,
68,독전,2018-05-22,18,43485249413,4.06E+00,5063676,1357,0,1,0,0,0,0,0,0,31,3,0,,,,
69,동갑내기 과외하기,2003-02-07,3,30103949502,4.06E+00,4937573,54,0,0,0,0,0,1,0,0,22,0,1,,,,
70,바람과 함께 사라지다,2012-08-08,12,34614661161,4.06E+00,4909937,694,0,0,1,0,0,0,0,0,19,0,0,,,,
71,공작,2018-08-08,18,41476760876,4.06E+00,4815227,1317,1,1,0,0,0,0,0,1,44,6,1,,,,
72,"님아, 그 강을 건너지 마오",2014-11-27,14,37355277679,4.06E+00,4801527,206,0,0,1,0,0,0,0,0,1,0,0,,,,
73,조선명탐정 : 각시투구꽃의 비밀,2011-01-27,11,35841769500,4.06E+00,4786259,611,1,0,0,0,0,1,0,0,29,1,1,,,,
74,군도: 민란의 시대,2014-07-23,14,36987755999,4.06E+00,4774895,1394,1,1,0,0,0,0,0,0,40,1,1,,,,
75,범죄와의 전쟁: 나쁜놈들 전성시대,2012-02-02,12,36538823500,4.06E+00,4719872,699,0,1,0,0,0,0,0,1,29,0,1,,,,
76,신세계,2013-02-21,13,34881330905,4.06E+00,4682492,671,0,1,0,0,0,0,0,1,17,1,0,,,,
77,도가니,2011-09-22,11,35566854800,4.06E+00,4662822,644,0,0,0,1,0,0,0,0,20,0,1,,,,
78,내 아내의 모든 것,2012-05-17,12,34222160500,4.06E+00,4598583,563,0,0,1,0,0,1,0,0,26,0,0,,,,
79,판도라,2016-12-07,16,36064461064,4.06E+00,4583645,1166,0,0,0,0,1,0,0,0,13,0,0,,,,
80,연가시,2012-07-05,12,32175400664,4.06E+00,4515833,759,0,0,1,0,1,0,0,0,14,0,1,,,,
81,강철비,2017-12-14,17,35489666466,4.06E+00,4452755,1426,0,1,1,0,0,0,0,0,31,3,0,,,,
82,강철중: 공공의 적 1-1,2008-06-19,8,28465757767,4.06E+00,4300670,659,0,1,0,0,0,0,0,1,29,3,0,,,,
83,아가씨,2016-06-01,16,35211229991,4.06E+00,4287839,1171,0,0,1,0,0,0,1,0,36,4,1,,,,
84,용의자,2013-12-24,13,30037161000,4.06E+00,4131248,807,0,1,0,0,0,0,0,0,27,0,1,,,,
85,건축학개론,2012-03-22,12,30219800500,4.06E+00,4110645,593,0,0,1,0,0,0,0,0,14,0,1,,,,
86,태풍,2005-12-14,5,29304939102,4.06E+00,4094395,115,0,1,0,0,0,0,0,1,16,1,1,,,,
87,7급 공무원,2009-04-22,9,26701311856,4.06E+00,4088799,475,0,0,1,0,0,0,0,0,19,0,1,,,,
88,색즉시공,2002-12-11,2,30192959301,4.06E+00,4082797,41,0,0,0,0,0,1,1,0,15,0,1,,,,
89,댄싱퀸,2012-01-18,12,30129259500,4.06E+00,4057546,534,0,0,1,0,0,0,0,0,25,1,1,,,,
90,우리 생애 최고의 순간,2008-01-10,8,26151780425,4.06E+00,4044582,418,0,0,1,0,0,0,0,0,24,0,0,,,,
91,꾼,2017-11-22,17,31313568795,4.06E+00,4018341,1314,0,0,1,0,0,0,0,1,39,0,1,,,,
92,타짜-신의 손,2014-09-03,14,32373120927,4.06E+00,4015361,890,0,1,0,0,0,0,0,1,26,3,0,,,,
93,공공의 적 2,2005-01-27,5,28591920350,4.06E+00,3911356,95,0,1,1,0,0,0,0,1,21,1,0,,,,
94,박수건달,2013-01-09,13,28379548569,4.06E+00,3897969,599,0,0,1,0,0,1,0,0,17,0,1,,,,
95,한반도,2006-07-13,6,34930192953,4.06E+00,3880308,126,1,1,1,0,0,0,0,0,18,1,1,,,,
96,조선명탐정 : 사라진 놉의 딸,2015-02-11,15,30456879428,4.06E+00,3872015,811,0,0,0,0,0,1,0,0,27,5,1,,,,
97,역린,2014-04-30,14,29893297890,4.06E+00,3849433,1054,1,0,0,0,0,0,0,0,18,1,1,,,,
98,남한산성,2017-10-03,17,31225083792,4.06E+00,3849087,1229,1,0,1,0,0,0,0,0,25,3,1,,,,
99,쌍화점,2008-12-30,8,25616489949,4.06E+00,3779553,499,1,0,0,0,0,0,0,0,17,0,1,,,,
100,신기전,2008-09-04,8,24314570667,4.06E+00,3726134,585,1,1,0,0,0,0,0,0,22,3,1,,,,
101,친절한 금자씨,2005-07-29,5,29030495828,4.06E+00,3650000,127,0,0,1,1,0,0,0,0,21,0,1,,,,
102,귀향,2016-02-24,16,27248705990,4.06E+00,3586929,876,1,0,1,0,0,0,0,0,1,0,0,,,,
103,신의 한 수,2014-07-03,14,28810921456,4.06E+00,3566336,794,0,1,0,0,0,0,0,0,22,1,1,,,,
104,스캔들-조선남녀상열지사,2003-10-02,3,25039102935,4.05E+00,3522747,76,1,0,0,0,0,0,0,0,21,0,1,,,,
105,가문의 부활 - 가문의 영광3,2006-09-21,6,25039201925,4.05E+00,3464516,114,0,0,0,0,0,1,0,0,20,0,1,,,,
106,부러진 화살,2012-01-18,12,25936754000,4.05E+00,3459780,453,0,0,1,0,0,0,0,0,18,1,0,,,,
107,끝까지 간다,2014-05-29,14,27007303900,4.05E+00,3450305,645,0,1,0,0,0,0,0,0,43,0,1,,,,
108,스파이,2013-09-05,13,24509269305,4.05E+00,3435801,785,0,0,1,0,0,0,0,0,16,3,1,,,,
109,그것만이 내 세상,2018-01-17,18,27444801382,4.05E+00,3418091,862,0,0,1,0,0,0,0,0,38,3,1,,,,
110,이끼,2010-07-14,10,25856306126,4.05E+00,3408144,736,0,0,0,1,0,0,0,0,19,4,1,,,,
111,포화속으로,2010-06-16,10,24217600897,4.05E+00,3385706,736,0,1,0,0,0,0,0,0,14,0,1,,,,
112,아이 캔 스피크,2017-09-21,17,25532214986,4.05E+00,3280243,1140,0,0,1,0,0,0,0,0,21,0,0,,,,
113,올드보이,2003-11-21,3,30294919204,4.05E+00,3269000,45,0,1,0,0,0,0,0,0,20,0,0,,,,
114,마녀,2018-06-27,18,27242303463,4.05E+00,3189132,1117,0,1,0,0,0,0,0,0,22,0,0,,,,
115,탐정: 리턴즈,2018-06-13,18,26909890178,4.05E+00,3152934,1041,0,1,0,0,0,0,0,0,39,0,1,,,,
116,어린 신부,2004-04-02,4,29402040291,4.05E+00,3149500,50,0,0,1,0,0,0,0,0,43,0,0,,,,
117,오! 브라더스,2003-09-04,3,23291929492,4.05E+00,3148748,51,0,0,1,0,0,0,0,0,29,0,1,,,,
118,"장화, 홍련",2003-06-13,3,25039293950,4.05E+00,3146217,52,0,0,0,1,0,0,0,0,37,0,0,,,,
119,그놈 목소리,2007-02-01,7,28394838492,4.05E+00,3143247,110,0,0,1,0,0,0,0,1,28,1,1,,,,
120,우리들의 행복한 시간,2006-09-14,6,24344394332,4.05E+00,3132320,118,0,0,1,0,0,0,0,0,26,0,0,,,,
121,퀵,2011-07-20,11,22960890000,4.05E+00,3125069,512,0,1,0,0,0,0,0,0,33,0,1,,,,
122,감기,2013-08-14,13,21784202000,4.05E+00,3119023,806,0,0,0,0,1,0,0,0,28,1,0,,,,
123,말죽거리 잔혹사,2004-01-16,4,22304030502,4.05E+00,3115767,67,0,0,1,0,0,0,0,0,42,0,1,,,,
124,광복절 특사,2002-11-20,2,22013858293,4.05E+00,3101900,71,0,0,1,0,0,0,0,0,38,0,0,,,,
125,마파도,2005-03-10,5,21030593022,4.05E+00,3090467,58,0,0,1,0,0,1,0,0,35,0,1,,,,
126,하모니,2010-01-28,10,21992266198,4.05E+00,3068544,405,0,0,1,0,0,0,0,0,39,1,1,,,,
127,거북이 달린다,2009-06-11,9,20857347292,4.05E+00,3059812,379,0,1,1,0,0,0,0,0,34,0,1,,,,
128,너는 내 운명,2005-09-23,5,20395939201,4.05E+00,3051134,92,0,0,1,0,0,0,0,0,30,0,1,,,,
129,스물,2015-03-25,15,23558988686,4.05E+00,3044134,926,0,0,1,0,0,0,0,0,30,0,0,,,,
130,식객,2007-11-01,7,2.21E+11,4.05E+00,3038868,88,0,0,1,0,0,0,0,0,26,0,1,,,,
131,방자전,2010-06-02,10,22853629794,4.05E+00,3035116,512,1,0,0,0,0,0,1,0,33,0,1,,,,
132,마더,2009-05-28,9,20195373838,4.05E+00,3013523,648,0,0,1,0,0,0,0,0,37,1,1,,,,
133,오싹한 연애,2011-12-01,11,22010977000,4.05E+00,3009356,469,0,0,1,0,0,0,0,0,36,0,1,,,,
134,형,2016-11-23,16,23129111893,4.05E+00,2982022,993,0,0,1,0,0,0,0,0,28,1,1,,,,
135,친구 2,2013-11-14,13,21804687513,4.05E+00,2971475,968,0,1,0,0,0,0,0,0,26,0,1,,,,
136,26년,2012-11-29,12,21241327145,4.05E+00,2963449,604,0,1,0,0,0,0,0,0,29,0,0,,,,
137,워낭소리,2009-01-15,9,19259975032,4.05E+00,2962897,20,0,0,1,0,0,0,0,0,38,0,0,,,,
138,고지전,2011-07-20,11,21968557600,4.05E+00,2945137,585,0,1,0,0,0,0,0,0,40,0,1,,,,
139,프리즌,2017-03-23,17,23790276987,4.05E+00,2931897,1047,0,0,1,0,0,0,0,0,28,0,1,,,,
140,헬로우 고스트,2010-12-22,10,21154651779,4.05E+00,2897477,472,0,0,1,0,0,1,0,0,34,0,0,,,,
141,귀신이 산다,2004-09-17,4,21020492910,4.05E+00,2890000,70,0,0,1,0,0,0,0,0,29,0,0,,,,
142,극비수사,2015-06-18,15,22389535897,4.05E+00,2860786,894,0,1,0,0,0,0,0,0,34,2,1,,,,
143,표적,2014-04-30,14,22256359300,4.05E+00,2841788,665,0,1,0,0,0,0,0,0,31,1,1,,,,
144,황산벌,2003-10-17,3,21929492842,4.05E+00,2771236,71,1,1,0,0,0,0,0,0,34,0,0,,,,
145,부당거래,2010-10-28,10,21326977937,4.05E+00,2766436,502,0,1,0,0,0,0,0,1,34,1,1,,,,
146,1번가의 기적,2007-02-14,7,21020492842,4.05E+00,2750457,80,0,0,1,0,0,0,0,0,34,0,1,,,,
147,시라노; 연애조작단,2010-09-16,10,20171151599,4.05E+00,2731828,402,0,0,1,0,0,0,0,0,34,0,1,,,,
148,내가 살인범이다,2012-11-08,12,20392346000,4.05E+00,2729808,547,0,0,0,1,0,0,0,0,30,1,1,,,,
149,소원,2013-10-02,13,18529792100,4.05E+00,2711071,641,0,0,1,0,0,0,0,0,28,3,1,,,,
150,친구,2001-03-31,1,19204929402,4.05E+00,2678846,0,0,0,1,0,0,0,0,0,41,0,0,,,,
151,곤지암,2018-03-28,18,21442440144,4.05E+00,2675618,1124,0,0,0,1,0,0,0,0,32,0,1,,,,
152,살인자의 기억법,2017-09-06,17,21375287492,4.05E+00,2658589,1064,0,0,0,1,0,0,0,0,33,8,1,,,,
153,후궁 : 제왕의 첩,2012-06-06,12,19330302500,4.05E+00,2636320,624,1,0,0,0,0,0,0,0,28,0,1,,,,
154,탐정 : 더 비기닝,2015-09-24,15,20463956973,4.05E+00,2625686,764,0,1,0,0,0,0,0,0,42,0,1,,,,
155,지금 만나러 갑니다,2018-03-14,18,20801160128,4.05E+00,2602316,1163,0,0,1,0,0,0,0,0,27,0,1,,,,
156,위험한 상견례,2011-03-31,11,19174920500,4.05E+00,2595625,524,0,0,1,0,0,0,0,0,32,0,1,,,,
157,아수라,2016-09-28,16,20576226662,4.05E+00,2594028,1278,0,1,0,0,0,0,0,0,31,3,1,,,,
158,보안관,2017-05-03,17,20844405409,4.05E+00,2588617,1091,0,1,0,0,0,0,0,1,38,2,1,,,,
159,굿모닝 프레지던트,2009-10-22,9,18770889320,4.05E+00,2583294,586,0,0,1,0,0,0,0,0,42,2,1,,,,
160,음란서생,2006-02-23,6,19204929402,4.05E+00,2576022,84,1,0,0,0,0,0,1,0,26,0,1,,,,
161,내 머리 속의 지우개,2004-11-05,4,20392918482,4.05E+00,2565078,68,0,0,1,0,0,0,0,0,43,0,1,,,,
162,기술자들,2014-12-24,14,19894297783,4.05E+00,2564340,641,0,1,0,0,0,0,0,1,27,0,1,,,,
163,내 생애 가장 아름다운 일주일,2005-10-07,5,19204928582,4.05E+00,2533103,105,0,0,1,0,0,0,0,0,31,0,1,,,,
164,조작된 도시,2017-02-09,17,20138295587,4.05E+00,2514943,1019,0,1,0,0,0,0,0,0,42,1,1,,,,
165,공동경비구역 JSA,2000-09-08,1,18204929402,4.05E+00,2513540,0,1,1,0,0,0,0,0,0,36,0,1,,,,
166,우리 형,2004-10-08,4,18452838593,4.05E+00,2479585,77,0,0,1,0,0,0,0,0,43,0,1,,,,
167,반창꼬,2012-12-19,12,17911274787,4.04E+00,2475797,466,0,0,1,0,0,0,0,0,34,1,0,,,,
168,박수칠 때 떠나라,2005-08-11,5,17623829592,4.04E+00,2475291,78,0,1,0,0,0,0,0,0,29,0,0,,,,
169,선생 김봉두,2003-03-28,3,18492959295,4.04E+00,2472135,60,0,0,1,0,0,0,0,0,31,0,0,,,,
170,조선명탐정: 흡혈괴마의 비밀,2018-02-08,18,19823058764,4.04E+00,2444180,1249,1,0,0,0,0,0,0,0,33,7,1,,,,
171,화차,2012-03-08,12,18459203000,4.04E+00,2436400,548,0,0,0,1,0,0,0,0,29,0,0,,,,
172,이웃사람,2012-08-22,12,18087442369,4.04E+00,2434099,600,0,0,0,1,0,0,0,0,43,0,1,,,,
173,광식이 동생 광태,2005-11-23,5,18294059295,4.04E+00,2430200,83,0,0,1,0,0,0,0,0,41,0,0,,,,
174,재심,2017-02-15,17,19264792637,4.04E+00,2421011,935,0,0,1,0,0,0,0,0,35,1,0,,,,
175,화이: 괴물을 삼킨 아이,2013-10-09,13,17695516795,4.04E+00,2394466,817,0,1,0,1,0,0,0,0,42,1,1,,,,
176,의뢰인,2011-09-29,11,17797042500,4.04E+00,2393086,522,0,0,1,0,0,0,0,1,29,0,1,,,,
177,목격자,2018-08-15,18,20493399260,4.04E+00,2379553,1021,0,0,1,0,0,0,0,0,35,0,0,,,,
178,가문의 영광4 - 가문의 수난,2011-09-07,11,17792219500,4.04E+00,2368267,537,0,0,0,0,0,1,0,0,39,0,0,,,,
179,블라인드,2011-08-10,11,18387176500,4.04E+00,2367272,404,0,1,0,0,0,0,0,0,27,0,0,,,,
180,박열,2017-06-28,17,18093543795,4.04E+00,2359174,1176,1,0,0,0,0,0,0,0,28,0,0,,,,
181,맨발의 기봉이,2006-04-26,6,19205929592,4.04E+00,2347311,71,0,0,1,0,0,0,0,0,31,0,1,,,,
182,바람의 파이터,2004-08-12,4,18284828582,4.04E+00,2346446,41,0,1,0,0,0,0,0,0,36,0,0,,,,
183,작업의 정석,2005-12-21,5,18295829581,4.04E+00,2342232,75,0,0,1,0,0,0,0,0,32,0,1,,,,
184,첫사랑 사수 궐기 대회,2003-06-27,3,18948843484,4.04E+00,2339410,70,0,0,1,0,0,0,0,0,41,0,0,,,,
185,미인도,2008-11-13,8,15531621371,4.04E+00,2325715,463,1,0,0,0,0,0,0,0,27,0,1,,,,
186,라스트 갓파더,2010-12-29,10,16832542997,4.04E+00,2316099,547,1,0,0,0,0,0,0,0,32,0,1,,,,
187,주유소 습격사건,1999-10-02,-1,17858484848,4.04E+00,2310000,0,0,1,0,0,0,1,0,0,26,0,0,,,,
188,하녀,2010-05-13,10,17310669976,4.04E+00,2304487,577,1,0,0,0,0,0,0,0,37,0,0,,,,
189,"달콤, 살벌한 연인",2006-04-06,6,17203949595,4.04E+00,2286745,60,0,0,1,0,0,0,0,0,42,0,1,,,,
190,혈의 누,2005-05-04,5,17493949596,4.04E+00,2274995,98,0,1,0,0,0,0,0,0,39,0,0,,,,
191,극락도 살인사건,2007-04-12,7,17394838583,4.04E+00,2259511,85,0,0,0,1,0,0,0,0,35,1,0,,,,
192,위대한 유산,2003-10-24,3,15385838502,4.04E+00,2251491,57,0,0,1,0,0,0,0,0,43,0,1,,,,
193,7광구,2011-08-04,11,19391653500,4.04E+00,2242510,812,0,1,0,0,0,0,0,0,35,3,1,,,,
194,박쥐,2009-04-30,9,15051788827,4.04E+00,2237271,462,0,0,0,1,0,0,0,0,30,2,1,,,,
195,싱글즈,2003-07-11,3,15020500523,4.04E+00,2203042,58,0,0,1,0,0,0,0,0,40,0,0,,,,
196,마당을 나온 암탉,2011-07-28,11,14669905500,4.04E+00,2201722,345,0,0,1,0,0,0,0,0,26,0,1,,,,
197,내 여자친구를 소개합니다,2004-06-03,4,18395828395,4.04E+00,2199359,75,0,0,1,0,0,0,0,0,40,0,0,,,,
198,댄서의 순정,2005-04-28,5,17385821935,4.04E+00,2197555,68,0,0,1,0,0,0,0,0,36,0,0,,,,
199,악의 연대기,2015-05-14,15,17361815332,4.04E+00,2192525,776,0,0,0,1,0,0,0,0,34,0,1,,,,
200,강남 1970,2015-01-21,15,17717971499,4.04E+00,2192172,841,0,1,0,0,0,0,0,0,31,0,1,,,,
201,바르게 살자,2007-10-18,7,18385928385,4.04E+00,2190250,79,0,0,1,0,0,0,0,0,33,1,1,,,,
202,늑대의 유혹,2004-07-22,4,18395938295,4.04E+00,2189453,40,0,0,1,0,0,0,0,0,41,0,1,,,,
203,황해,2010-12-22,10,16765970362,4.04E+00,2167426,618,0,1,0,0,0,0,0,1,28,0,0,,,,
204,초능력자,2010-11-10,10,15618440958,4.04E+00,2164805,622,0,1,0,0,0,0,0,0,31,0,0,,,,
205,내 사랑 내 곁에,2009-09-24,9,15764312409,4.04E+00,2160265,474,0,0,1,0,0,0,0,0,37,1,1,,,,
206,마이 웨이,2011-12-21,11,15994803000,4.04E+00,2142622,645,0,1,0,0,0,0,0,0,36,2,0,,,,
207,나의 사랑 나의 신부,2014-10-08,14,16636404305,4.04E+00,2141155,629,0,0,1,0,0,0,0,0,42,0,0,,,,
208,범죄의 재구성,2004-04-15,4,16930593059,4.04E+00,2129358,50,0,0,1,0,0,0,0,1,40,0,1,,,,
209,사랑,2007-09-19,7,16384958395,4.04E+00,2123815,78,0,0,1,0,0,0,0,0,39,0,1,,,,
210,세븐 데이즈,2007-11-14,7,38146000,4.04E+00,2120741,297,0,0,1,0,0,0,0,0,36,0,0,,,,
211,굿바이 싱글,2016-06-29,16,16912706195,4.04E+00,2108273,841,0,0,1,0,0,0,0,0,26,1,1,,,,
212,사생결단,2006-04-27,6,830192935,4.04E+00,2104716,78,0,1,0,0,0,0,0,0,31,0,1,,,,
213,몽타주,2013-05-16,13,15002458500,4.04E+00,2095592,540,0,0,1,0,0,0,0,0,40,0,0,,,,
214,색즉시공 시즌2,2007-12-12,7,511288500,4.04E+00,2088134,89,0,0,0,0,0,1,1,0,26,0,1,,,,
215,내부자들: 디 오리지널,2015-12-31,15,16973885275,4.04E+00,2083999,838,0,0,0,0,0,0,0,0,38,0,1,,,,
216,쩨쩨한 로맨스,2010-12-01,10,15901620661,4.04E+00,2080574,463,0,0,1,0,0,0,0,0,43,0,1,,,,
217,청춘만화,2006-03-23,6,13929502951,4.04E+00,2066354,86,0,0,1,0,0,0,0,0,29,0,1,,,,
218,눈에는 눈 이에는 이,2008-07-31,8,13414023500,4.04E+00,2058764,445,0,1,0,0,0,0,0,0,35,0,1,,,,
219,뷰티 인사이드,2015-08-20,15,16155795131,4.04E+00,2054297,648,0,0,1,0,0,0,0,0,28,1,0,,,,
220,봉이 김선달,2016-07-06,16,16227052642,4.04E+00,2051277,942,1,0,0,0,0,0,0,0,32,0,1,,,,
